mana_cost1,name1,type_line0,mana_cost0,type_line1,oracle_text0,name0,oracle_text1
,,Creature — Human Warrior,{3}{W}{W},,"Whenever Ballroom Brawlers attacks, Ballroom Brawlers and up to one other target creature you control both gain your choice of first strike or lifelink until end of turn.",Ballroom Brawlers,
,,Legendary Creature — Bird Wizard,{U}{R},,"Flying
Whenever you cast an instant or sorcery spell, creatures you control get +1/+0 and gain trample until end of turn.","Balmor, Battlemage Captain",
,,Enchantment Creature — Snake Archer,{1}{G},,"Defender, reach
Channel — {4}{G}, Discard Bamboo Grove Archer: Destroy target creature with flying.",Bamboo Grove Archer,
,Baneclaw Marauder,Creature — Human Rogue Werewolf,{3}{B},Creature — Werewolf,"Whenever Baneblade Scoundrel becomes blocked, each creature blocking it gets -1/-1 until end of turn.
Daybound (If a player casts no spells during their own turn, it becomes night next turn.)",Baneblade Scoundrel,"Whenever Baneclaw Marauder becomes blocked, each creature blocking it gets -1/-1 until end of turn.
Whenever a creature blocking Baneclaw Marauder dies, that creature's controller loses 1 life.
Nightbound (If a player casts at least two spells during their own turn, it becomes day next turn.)"
,,Sorcery,{W}{W},,"Destroy up to one target artifact, enchantment, or tapped creature. Then if you control an artifact and an enchantment, create a 2/2 white Samurai creature token with vigilance.",Banishing Slash,
,,Legendary Creature — Human,{1}{U}{R},,"First strike, menace
Whenever you cast your first instant or sorcery spell each turn, you may cast a spell with lesser mana value that shares a card type with it from your hand without paying its mana cost. If you don't, create First Mate Ragavan, a legendary 2/1 red Monkey Pirate creature token. It gains haste until end of turn.",Baral and Kari Zev,
,,Artifact — Equipment,{1}{R},,"For Mirrodin! (When this Equipment enters the battlefield, create a 2/2 red Rebel creature token, then attach this to it.)
Equipped creature gets +1/-1.
Equip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)",Barbed Batterfist,
,,Creature — Elemental Warrior,{3}{G},,"Enlist (As this creature attacks, you may tap a nonattacking creature you control without summoning sickness. When you do, add its power to this creature's until end of turn.)",Barkweave Crusher,
,,Creature — Phyrexian Angel,{3}{W}{W},,"Flying
When Basilica Shepherd enters the battlefield, create two 1/1 colorless Phyrexian Mite artifact creature tokens with toxic 1 and ""This creature can't block."" (Players dealt combat damage by them also get a poison counter.)",Basilica Shepherd,
,,Artifact,{1},,"{1}, Sacrifice Basilica Skullbomb: Draw a card.
{2}{W}, Sacrifice Basilica Skullbomb: Target creature you control gets +2/+2 and gains flying until end of turn. Draw a card. Activate only as a sorcery.",Basilica Skullbomb,
,,Creature — Human Artificer,{2}{G}{U},,"Creatures you control have ""{T}: Add {C}. This mana can't be spent to cast a nonartifact spell.""
Whenever you cast an artifact spell with mana value 6 or greater, draw a card.",Battery Bearer,
,,Creature — Human Soldier,{2}{B},,"{5}, {T}: Each opponent loses 2 life. This ability costs {1} less to activate for each creature card in your graveyard.",Battlefield Butcher,
,,Land,,,"{T}: Add {C}.
{T}: Add {R} or {W}. Battlefield Forge deals 1 damage to you.",Battlefield Forge,
,,Creature — Phyrexian Insect,{B},,"Flying
{B}: Battlefly Swarm gains deathtouch until end of turn.",Battlefly Swarm,
,,Instant,{1}{B},,"Target creature gains deathtouch and indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)",Battle-Rage Blessing,
,,Creature — Bird Wizard,{1}{U},,"Kicker {R} (You may pay an additional {R} as you cast this spell.)
Flying
When Battlewing Mystic enters the battlefield, if it was kicked, discard your hand, then draw two cards.",Battlewing Mystic,
,,Creature — Vampire,{3}{B},,"When Bat Whisperer enters the battlefield, if an opponent lost life this turn, create a 1/1 black Bat creature token with flying.",Bat Whisperer,
,,Artifact — Equipment,{R},,"Equipped creature gets +1/+0 and has menace. (It can't be blocked except by two or more creatures.)
Whenever equipped creature deals combat damage to a player or battle, create a Treasure token.
Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)",Beamtown Beatstick,
,,Enchantment Creature — Human Monk,{2}{G},,{5}{G}: Put a +1/+1 counter on target enchantment creature. It gains trample until end of turn.,Bearer of Memory,
,Imperial Moth,Enchantment — Saga,{3}{W},Enchantment Creature — Insect,"(As this Saga enters and after your draw step, add a lore counter.)
I, II — Target creature you control gets +1/+1 and gains flying until end of turn.
III — Exile this Saga, then return it to the battlefield transformed under your control.",Befriending the Moths,Flying
,Vision of the Unspeakable,Enchantment — Saga,{3}{U}{U},Enchantment Creature — Spirit,"(As this Saga enters and after your draw step, add a lore counter.)
I — Creatures you don't control get -2/-0 until your next turn.
II — If you have one or fewer cards in hand, draw four cards. Otherwise, scry 2, then draw two cards.
III — Exile this Saga, then return it to the battlefield transformed under your control.",Behold the Unspeakable,"Flying, trample
Vision of the Unspeakable gets +1/+1 for each card in your hand."
,,Creature — Vampire,{2}{R},,"Trample
Whenever Belligerent Guest deals combat damage to a player, create a Blood token. (It's an artifact with ""{1}, {T}, Discard a card, Sacrifice this artifact: Draw a card."")",Belligerent Guest,
,Generous Soul,Creature — Human Peasant,{1}{W},Creature — Spirit,Disturb {4}{W}{W} (You may cast this card from your graveyard transformed for its disturb cost.),Beloved Beggar,"Flying, vigilance
If Generous Soul would be put into a graveyard from anywhere, exile it instead."
,,Creature — Human Cleric,{1}{W},,"Vigilance
Enlist (As this creature attacks, you may tap a nonattacking creature you control without summoning sickness. When you do, add its power to this creature's until end of turn.)",Benalish Faithbonder,
,,Creature — Phyrexian Human Soldier,{1}{W},,"Kicker {B} (You may pay an additional {B} as you cast this spell.)
When Benalish Sleeper enters the battlefield, if it was kicked, each player sacrifices a creature.",Benalish Sleeper,
,Dauntless Avenger,Creature — Human Peasant,{2}{W},Creature — Human Soldier,"When another creature you control dies, transform Bereaved Survivor.",Bereaved Survivor,"Whenever Dauntless Avenger attacks, return target creature card with mana value 2 or less from your graveyard to the battlefield tapped and attacking."
,,Instant,{3}{R},,"As an additional cost to cast this spell, discard a card.
Draw two cards and create two Treasure tokens. (They're artifacts with ""{T}, Sacrifice this artifact: Add one mana of any color."")",Big Score,
,,Creature — Phyrexian Insect,{B},,"Deathtouch
Toxic 1 (Players dealt combat damage by this creature also get a poison counter.)",Bilious Skulldweller,
,Spectral Binding,Creature — Spirit,{2}{U},Enchantment — Aura,"Whenever Binding Geist attacks, target creature an opponent controls gets -2/-0 until end of turn.
Disturb {1}{U} (You may cast this card from your graveyard transformed for its disturb cost.)",Binding Geist,"Enchant creature
Enchanted creature gets -2/-0.
If Spectral Binding would be put into a graveyard from anywhere, exile it instead."
,Biolume Serpent,Creature — Serpent Egg,{2}{U},Creature — Serpent,"Defender
When Biolume Egg enters the battlefield, scry 2.
When you sacrifice Biolume Egg, return it to the battlefield transformed under its owner's control at the beginning of the next end step.",Biolume Egg,Sacrifice two Islands: Biolume Serpent can't be blocked this turn.
,Wing Shredder,Creature — Human Archer Werewolf,{2}{G},Creature — Werewolf,"Reach
Daybound (If a player casts no spells during their own turn, it becomes night next turn.)",Bird Admirer,"Reach
Nightbound (If a player casts at least two spells during their own turn, it becomes day next turn.)"
,,Instant,{1}{G},,Target creature you control deals damage equal to its power to target creature or planeswalker you don't control.,Bite Down,
,,Creature — Human Ninja,{2}{B},,"Ninjutsu {2}{B}
Biting-Palm Ninja enters the battlefield with a menace counter on it.
Whenever Biting-Palm Ninja deals combat damage to a player, you may remove a menace counter from it. When you do, that player reveals their hand and you choose a nonland card from it. Exile that card.",Biting-Palm Ninja,
,,Enchantment,{1}{R},,"When Bitter Reunion enters the battlefield, you may discard a card. If you do, draw two cards.
{1}, Sacrifice Bitter Reunion: Creatures you control gain haste until end of turn.",Bitter Reunion,
,,Land,,,"Blackcleave Cliffs enters the battlefield tapped unless you control two or fewer other lands.
{T}: Add {B} or {R}.",Blackcleave Cliffs,
,,Creature — Cat Rogue,{R}{G},,"At the beginning of your upkeep, Black Market Tycoon deals 2 damage to you for each Treasure you control.
{T}: Create a Treasure token.",Black Market Tycoon,
,,Instant,{X}{B},,"Up to one target creature gets -X/-X until end of turn. If X is 5 or more, return a creature card with mana value X or less from your graveyard to the battlefield tapped.",Black Sun's Twilight,
,,Creature — Fox Ninja,{2}{W},,"Ninjutsu {3}{W} ({3}{W}, Return an unblocked attacker you control to hand: Put this card onto the battlefield from your hand tapped and attacking.)
Double strike",Blade-Blizzard Kitsune,
,,Instant,{1}{B},,"Target creature gains deathtouch until end of turn.
Draw a card.",Bladebrand,
,,Artifact Creature — Serpent,{X}{6},,"When Bladecoil Serpent enters the battlefield, for each {U}{U} spent to cast it, draw a card.
When Bladecoil Serpent enters the battlefield, for each {B}{B} spent to cast it, each opponent discards a card.
When Bladecoil Serpent enters the battlefield, for each {R}{R} spent to cast it, it gets +1/+0 and gains trample and haste until end of turn.",Bladecoil Serpent,
,,Creature — Phyrexian Soldier,{1}{W},,"Bladed Ambassador enters the battlefield with an oil counter on it.
{1}, Remove an oil counter from Bladed Ambassador: Bladed Ambassador gains indestructible until end of turn.",Bladed Ambassador,
,,Artifact — Equipment,{1}{B},,"Flash
When Bladed Battle-Fan enters the battlefield, attach it to target creature you control. That creature gains indestructible until end of turn.
Equipped creature gets +1/+0.
Equip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)",Bladed Battle-Fan,
,,Creature — Phyrexian Warrior,{2}{R},,"Menace
Equipment spells you cast cost {1} less to cast.
Activated abilities of Equipment you control that target Bladegraft Aspirant cost {1} less to activate.",Bladegraft Aspirant,
,,Artifact — Equipment,{1}{R}{W},,"For Mirrodin! (When this Equipment enters the battlefield, create a 2/2 red Rebel creature token, then attach this to it.)
Equip abilities you activate of other Equipment cost {1} less to activate.
Equipped creature has double strike.
Equip {3}{R}{W}",Bladehold War-Whip,
